"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"2","6.237253","fe80::c801:25ff:fe50:0","ff02::1","ICMPv6","118","Router Advertisement from ca:01:25:50:00:00"
"3","10.025417","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"4","20.016394","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"5","30.016062","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"6","40.038909","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"7","49.307104","ca:01:25:50:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","397","Device ID: R1  Port ID: FastEthernet0/0  "
"8","50.008592","ca:01:25:50:00:00","ca:01:25:50:00:00","LOOP","60","Reply"
"9","52.013065","2001:1:1:1::2","ff02::1:ff00:1","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::1 from 00:50:79:66:68:00"
"10","52.042650","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","86","Neighbor Advertisement 2001:1:1:1::1 (rtr, sol, ovr) is at ca:01:25:50:00:00"
"11","53.023878","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=1, hop limit=64 (reply in 12)"
"12","53.038903","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=1, hop limit=64 (request in 11)"
"13","53.054879","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=2, hop limit=64 (reply in 14)"
"14","53.068886","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=2, hop limit=64 (request in 13)"
"15","53.084417","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=3, hop limit=64 (reply in 16)"
"16","53.099420","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=3, hop limit=64 (request in 15)"
"17","53.114416","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=4, hop limit=64 (reply in 18)"
"18","53.129420","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=4, hop limit=64 (request in 17)"
"19","53.144252","2001:1:1:1::2","2001:1:1:1::1","ICMPv6","118","Echo (ping) request id=0x1c43, seq=5, hop limit=64 (reply in 20)"
"20","53.159250","2001:1:1:1::1","2001:1:1:1::2","ICMPv6","118","Echo (ping) reply id=0x1c43, seq=5, hop limit=64 (request in 19)"
"21","57.054071","fe80::c801:25ff:fe50:0","2001:1:1:1::2","ICMPv6","86","Neighbor Solicitation for 2001:1:1:1::2 from ca:01:25:50:00:00"
